category,graph_count,total_vertices,total_edges,avg_vertices,avg_edges,avg_density,connected_graphs_count,avg_prim_time_ms,avg_kruskal_time_ms,avg_time_ratio,min_prim_time,max_prim_time,min_kruskal_time,max_kruskal_time,avg_prim_operations,avg_kruskal_operations,avg_operations_ratio,min_prim_ops,max_prim_ops,min_kruskal_ops,max_kruskal_ops,consistency_rate,total_mst_edges_verified,algorithm_efficiency_summary
small,5,150,997,30,00,199,40,0,4584,5,19,00,34,80,1,832,0,00,95,00,0,00,174,00,487,80,437,60,0,897,418,00,561,00,397,00,537,00,100,00,145,Kruskal_faster_Kruskal_more_efficient
large,10,10000,1006585,1000,00,100658,50,0,2015,10,29,60,20,10,0,679,14,00,42,00,11,00,30,00,206395,30,114105,30,0,553,111795,00,269867,00,68120,00,145680,00,100,00,9990,Prim_faster_Kruskal_more_efficient
extra-large,3,4900,315290,1633,33,105096,67,0,0766,3,31,00,20,67,0,667,16,00,43,00,11,00,26,00,218637,33,128750,33,0,589,121124,00,293401,00,74693,00,168518,00,100,00,4897,Prim_faster_Kruskal_more_efficient
medium,10,3000,138708,300,00,13870,80,0,3093,10,3,70,3,70,1,000,2,00,7,00,2,00,8,00,28947,00,17193,00,0,594,22315,00,35605,00,13678,00,20471,00,100,00,2990,Equal_performance_Kruskal_more_efficient
